English,Bydeform,Navneform,Nutid,Datid,Perfektum
to feel,mærk,at mærke,mærker,mærkede,mærket
to try,prøv,at prøve,prøver,prøvede,prøvet
to send back/return,returner,at returnere,returnerer,returnerede,returneret
to call (on phone),ring,at ringe,ringer,ringede,ringet
to push,skubb,at skubbe,skubber,skubbede,skubbet
to end/finish,slutt,at slutte,slutter,sluttede,sluttet
to smile,smil,at smile,smiler,smilede,smilet
to walk,spadser,at spadsere,spadserer,spadserede,spadseret
to play (music/sport),spill,at spille,spiller,spillede,spillet
to study,studer,at studere,studerer,studerede,studeret
