English,Navneform,Ental Ubestemt,Ental Bestemt,Flertal Ubestemt,Flertal Bestemt
human,menneske,et menneske,mennesket,mennesker,menneskene
jacket,jakke,en jakke,jakken,jakker,jakkerne
knife,kniv,en kniv,kniven,knive,knivene
lamp,lampe,en lampe,lampen,lamper,lamperne
leaf,blad,et blad,bladet,blade,bladene
letter,bogstav,et bogstav,bogstavet,bogstaver,bogstaverne
mittens,vant,en vante,vanten,vanter,vanterne
month,måned,en måned,måneden,måneder,månederne
newspaper,avis,en avis,avisen,aviser,aviserne
phone,telefon,en telefon,telefonen,telefoner,telefonerne
